Date,"it.wikipedia.org"
2020-06-11,5326205
2020-06-12,4666988
2020-06-13,3830123
2020-06-14,4161072
2020-06-15,5290911
2020-06-16,5196964
2020-06-17,4950158
2020-06-18,4807232
2020-06-19,4509593
2020-06-20,3406239
2020-06-21,3564025
2020-06-22,4742303
2020-06-23,4614654
2020-06-24,4353477
2020-06-25,4315733
2020-06-26,4000783
2020-06-27,3097013
2020-06-28,3217325
2020-06-29,4348639
2020-06-30,4372719
2020-07-01,4234509
